date,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod,opec_tot_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons,non-oecd_cons,world_cons
2011-03-18,99.78999999999999,112.66599999999998,99.768,100.672,101.28999999999999,101.83000000000001,8.953,1057.517,726.542,4.976,33.39412796774194,31.989094,3.5905823225806452,54.47016427129032,45.839247386580645,42.23474567883871,88.07399306541936
2011-03-25,104.40599999999999,115.412,104.61599999999999,105.26399999999998,105.744,106.08200000000002,9.094,1060.462,726.542,4.976,33.40393248387097,31.954283,3.5452961612903224,54.44676624064516,45.35730488629032,42.353015174419355,87.71032006070968
2011-04-01,105.08399999999999,116.49000000000001,105.54,106.09200000000001,106.574,106.86600000000001,8.916,1062.078,726.542,5.026,33.413737,31.919472,3.50001,54.42336821,44.875362386,42.47128467,87.346647056
2011-04-08,109.28599999999999,123.03,109.74600000000001,110.354,110.874,111.18599999999999,8.537,1063.705,726.542,5.021,33.4437425,31.9402767,3.5001537333333332,54.3558508433,44.832490003766665,42.54723911243334,87.3797291162
2011-04-15,107.75,123.572,108.21000000000001,108.83399999999999,109.38400000000001,109.748,8.019,1061.383,726.542,5.021,33.473748,31.961081399999998,3.500297466666667,54.2883334766,44.78961762153333,42.62319355486667,87.4128111764
2011-04-22,109.11000000000001,122.735,109.75250000000001,110.1575,110.5175,110.705,9.232,1067.539,726.542,5.021,33.5037535,31.981886099999997,3.5004412,54.2208161099,44.7467452393,42.6991479973,87.4458932366
2011-04-29,112.296,125.36000000000001,112.80799999999999,113.30199999999999,113.578,113.69200000000001,8.843,1070.96,726.542,5.019,33.533759,32.002690799999996,3.500584933333333,54.153298743200004,44.70387285706666,42.77510243973334,87.4789752968
2011-05-06,105.83600000000001,119.564,106.15799999999999,106.68800000000002,106.98999999999998,107.174,8.93,1074.592,726.542,5.019,33.6487990967742,32.00005403225806,3.387681,54.175363039580645,44.95837204241935,42.84317372819355,87.8015457706129
2011-05-13,99.866,114.52799999999999,100.652,101.188,101.55800000000002,101.84200000000001,8.536,1074.577,726.542,5.019,33.79785303225807,31.988040677419352,3.229558,54.23326000119355,45.33181985480645,42.90809175506452,88.23991160987097
2011-05-20,97.994,112.02000000000001,98.462,98.974,99.35600000000001,99.686,9.198,1075.193,726.542,5.019,33.94690696774193,31.976027322580645,3.071435,54.291156962806454,45.705267667193546,42.97300978193548,88.67827744912903
