date,Cana Woodford,DJ-Niobrara,Eagle Ford,Permian,Williston,Total US RigCount,wti_spot_lag_15,wti_spot_lag_9,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import_smooth,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod_smooth,usa_l48_prod,opec_tot_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons_smooth,oecd_cons,non-oecd_cons_smooth,non-oecd_cons,world_cons_smooth,world_cons,rig_change_4bin_week+4,rig_change_4bin_week+8
2020-10-09,6.0,4.0,12.0,129.0,11.0,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-02,6.0,4.0,11.0,128.0,11.0,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25,6.0,4.0,11.0,123.0,10.0,183.0,38.35,41.338,39.78,40.89,39.88,40.13,40.436,40.764,2.1620000000000132,1.61,1135.577,643.151,10.124999999999993,10.3,29.4351217018,31.697833199999998,7.094833199999999,63.0631928022,41.338,43.7024025618,41.338,52.0575152578,41.338,95.75991781959999,,
2020-09-18,6.0,4.0,9.0,121.0,10.0,179.0,37.872,40.57000000000001,39.554,40.77,39.556,39.812,40.15600000000001,40.55,2.2340000000000133,2.146,1139.358,644.952,9.849999999999993,10.3,29.2716142654,31.6661386,7.2346386,62.993766181766674,40.57000000000001,43.415250684899995,40.57000000000001,52.19913929956667,40.57000000000001,95.61438998446668,,
2020-09-11,6.0,4.0,9.0,122.0,9.0,180.0,37.321999999999996,40.44199999999999,37.375,39.45,37.36,37.7275,38.1925,38.6775,2.3357500000000138,2.4130000000000003,1141.778,645.7330000000001,9.874999999999993,10.4,29.108106829,31.634444000000002,7.374443999999999,62.92433956133333,40.44199999999999,43.128098808000004,40.44199999999999,52.34076334133333,40.44199999999999,95.4688621493333,,
2020-09-04,6.0,4.0,9.0,124.0,9.0,181.0,34.185,39.992,41.842,43.06,41.604,41.94,42.308,42.68,2.6307500000000137,2.479,1148.2939999999999,647.86,9.849999999999994,9.5,28.9445993926,31.6027494,7.514249400000001,62.8549129409,39.992,42.8409469311,39.992,52.482387383100004,39.992,95.3233343142,,
2020-08-28,6.0,4.0,9.0,124.0,10.0,180.0,33.096000000000004,39.22,42.931999999999995,45.258,43.074,43.374,43.688,44.0,2.630500000000014,1.8980000000000001,1146.566,648.165,10.049999999999995,9.2,28.862163778419358,31.581961870967746,7.57663929032258,62.805608707516136,39.22,42.732222955580646,39.22,52.35732175958064,39.22,95.08954471516128,,
2020-08-21,6.0,4.0,9.0,126.0,10.0,183.0,26.398000000000003,38.35,42.726000000000006,44.792,42.726000000000006,42.968,43.26600000000001,43.57,2.953750000000014,2.553,1157.228,649.465,10.399999999999995,10.4,28.840532030903226,31.56935464516129,7.580967548387097,62.77139626441936,38.35,42.757319906096775,38.35,52.032238887096774,38.35,94.78955879319356,,
2020-08-14,6.0,4.0,10.0,116.0,11.0,172.0,23.464,37.872,42.076,44.538000000000004,42.093999999999994,42.364,42.69200000000001,42.996,2.7992500000000144,3.593,1163.68,651.2280000000001,10.474999999999996,10.3,28.818900283387094,31.55674741935484,7.5852958064516125,62.737183821322574,37.872,42.782416856612905,37.872,51.70715601461289,37.872,94.48957287122582,++,++
2020-08-07,6.0,4.0,10.0,121.0,11.0,176.0,15.712,37.321999999999996,41.568000000000005,44.356,41.614,41.86800000000001,42.214,42.514,2.6380000000000146,2.478,1167.983,653.899,10.549999999999997,10.3,28.797268535870966,31.544140193548387,7.58962406451613,62.70297137822581,37.321999999999996,42.80751380712904,37.321999999999996,51.38207314212903,37.321999999999996,94.18958694925806,++,++
2020-07-31,6.0,4.0,11.0,124.0,11.0,180.0,3.3240000000000007,34.185,40.68599999999999,43.224,40.82,41.086000000000006,41.368,41.62,2.7745000000000144,3.1910000000000003,1174.737,656.1410000000001,10.599999999999996,10.6,28.745787130258066,31.532661935483876,7.623790967741934,62.66368882370968,34.185,42.80978071190323,34.185,51.10281440825807,34.185,93.9125951201613,-,+
2020-07-24,5.0,4.0,12.0,126.0,10.0,181.0,20.12,33.096000000000004,41.338,43.568000000000005,41.406000000000006,41.508,41.666000000000004,41.804,3.2285000000000146,1.935,1182.116,656.1469999999999,10.599999999999996,10.7,28.515207776064514,31.527957483870967,7.836989741935483,62.59398560067742,33.096000000000004,42.675067342225816,33.096000000000004,51.09850050606452,33.096000000000004,93.77356784829031,+,-
2020-07-17,6.0,4.0,10.0,124.0,10.0,180.0,24.405,26.398000000000003,40.57000000000001,43.403999999999996,40.586,40.790000000000006,40.966,41.111999999999995,3.4640000000000146,2.948,1192.7269999999999,656.1469999999999,10.574999999999998,10.6,28.28462842187097,31.52325303225807,8.050188516129031,62.52428237764517,26.398000000000003,42.54035397254839,26.398000000000003,51.094186603870966,26.398000000000003,93.63454057641935,--,-
2020-07-10,6.0,4.0,8.0,125.0,10.0,181.0,21.686,23.464,40.44199999999999,43.06,40.464,40.611999999999995,40.77200000000001,40.904,3.5727500000000143,3.0239999999999996,1187.837,656.1489999999999,10.574999999999998,10.5,28.054049067677422,31.51854858064516,8.26338729032258,62.4545791546129,23.464,42.40564060287097,23.464,51.089872701677415,23.464,93.49551330454838,--,-
2020-07-03,6.0,4.0,10.0,126.0,10.0,185.0,19.438,15.712,39.992,42.302,40.018,40.118,40.262,40.378,3.861750000000014,5.007,1195.204,656.023,10.474999999999998,10.6,27.823469713483874,31.513844129032254,8.476586064516129,62.38487593158065,15.712,42.27092723319355,15.712,51.08555879948387,15.712,93.35648603267742,--,-
2020-06-26,6.0,4.0,10.0,131.0,10.0,188.0,24.194000000000006,3.3240000000000007,39.22,41.693999999999996,39.21,39.402,39.55,39.688,3.7162500000000143,2.877,1188.94,655.413,10.499999999999996,10.6,27.658520448,31.51402766666667,8.643194333333334,62.1964448025,3.3240000000000007,41.89485619566667,3.3240000000000007,50.9052164705,3.3240000000000007,92.80007266616668,--,-
2020-06-19,5.0,5.0,10.0,132.0,10.0,189.0,32.385999999999996,20.12,38.35,40.948,38.41,38.63399999999999,38.828,39.00600000000001,3.8432500000000145,3.383,1194.443,653.721,10.549999999999995,10.6,27.519823218000003,31.5161664,8.7911664,61.960522511,20.12,41.422242091,20.12,50.6544627708,20.12,92.0767048618,--,--
2020-06-12,5.0,5.0,12.0,137.0,11.0,199.0,45.574,24.405,37.872,39.518,37.866,38.09,38.318000000000005,38.484,4.003500000000015,4.18,1191.01,651.73,10.649999999999995,10.1,27.381125988,31.51830513333333,8.939138466666666,61.724600219500005,24.405,40.949627986333326,24.405,50.403709071099996,24.405,91.35333705743332,--,--
2020-06-05,5.0,5.0,12.0,141.0,12.0,206.0,48.361999999999995,21.686,37.321999999999996,38.37,37.3,37.592,37.884,38.068000000000005,3.4480000000000146,4.425,1188.0639999999999,649.999,10.899999999999995,10.7,27.242428758000003,31.52044386666667,9.087110533333334,61.488677928,21.686,40.47701388166666,21.686,50.152955371400004,21.686,90.62996925306665,--,--
