,accuracy,balanced accuracy,precision avg,recall avg,precision (++),precision (+),precision (-),precision (--),recall (++),recall (+),recall (-),recall (--),pos neg class,max depth
RFC_pos_neg_class,0.8253012048192772,0.8195324157686459,0.8265350048644974,0.8253012048192772,0.8536585365853658,0.7719298245614035,0.8214285714285714,0.875,0.813953488372093,0.8461538461538461,0.696969696969697,0.9210526315789473,0.9578313253012049,8
XGB_base,0.7710843373493976,0.7669432770411962,0.7713217401626209,0.7710843373493976,0.7674418604651163,0.7142857142857143,0.7241379310344828,0.8947368421052632,0.7674418604651163,0.7692307692307693,0.6363636363636364,0.8947368421052632,0.927710843373494,
XGB_neg_recall,0.7469879518072289,0.7469380629570348,0.7488621151271753,0.7469879518072289,0.7333333333333333,0.7115384615384616,0.6666666666666666,0.8888888888888888,0.7674418604651163,0.7115384615384616,0.6666666666666666,0.8421052631578947,0.927710843373494,8
RFC_base,0.7771084337349398,0.7747603019175846,0.7791705864162172,0.7771084337349398,0.8333333333333334,0.7358490566037735,0.6470588235294118,0.8918918918918919,0.813953488372093,0.75,0.6666666666666666,0.868421052631579,0.9156626506024097,
XGB_pos_neg_class,0.7590361445783133,0.7618672127546057,0.7578822075632848,0.7590361445783133,0.7674418604651163,0.7058823529411765,0.6666666666666666,0.8974358974358975,0.7674418604651163,0.6923076923076923,0.6666666666666666,0.9210526315789473,0.9096385542168675,2
RFC_neg_recall,0.6927710843373494,0.6652267306337074,0.7243441171241927,0.6927710843373494,0.7948717948717948,0.6119402985074627,0.8333333333333334,0.7037037037037037,0.7209302325581395,0.7884615384615384,0.15151515151515152,1.0,0.8855421686746988,3
KMeans_base,0.1686746987951807,0.18223063656050192,0.14603048046527847,0.1686746987951807,0.23529411764705882,0.047619047619047616,0.225,0.1111111111111111,0.27906976744186046,0.019230769230769232,0.2727272727272727,0.15789473684210525,0.5120481927710843,
baseline_dummy_class,0.19879518072289157,0.1939398575720485,0.21665803135520256,0.19879518072289157,0.21052631578947367,0.3333333333333333,0.14634146341463414,0.125,0.18604651162790697,0.25,0.18181818181818182,0.15789473684210525,0.42168674698795183,
