date,Total US RigCount,wti_spot_lag_14__benford_correlation,oecd_cons_smooth__benford_correlation,wti_fut_4__benford_correlation,wti_spot__benford_correlation,usa_net_import__benford_correlation,opec_surp_capac__range_count__max_1__min_-1,usa_l48_prod__abs_energy,brent_spot__benford_correlation,opec_surp_capac__abs_energy,wti_spot_lag_14,brent_spot,usa_net_import,usa_l48_prod,opec_surp_capac
2020-09-25,183.0,0.06291512241389041,-0.06461440727816897,-0.06461440727816897,0.06291512241389041,0.8641230464899805,0.0,106.09000000000002,-0.06461440727816897,50.40763146782223,38.35,40.89,1.61,10.3,7.099833199999999
2020-09-18,179.0,0.06291512241389041,-0.06461440727816897,-0.06461440727816897,0.06291512241389041,0.29565697763773563,0.0,106.09000000000002,-0.06461440727816897,52.49686353672106,37.872,40.77,2.146,10.3,7.245471933333333
2020-09-11,180.0,0.06291512241389041,-0.06461440727816897,0.06291512241389041,0.06291512241389041,0.29565697763773563,0.0,108.16000000000001,0.06291512241389041,54.628516886913786,37.322,39.45,2.4130000000000003,10.4,7.391110666666667
2020-09-04,181.0,0.06291512241389041,0.06291512241389041,-0.06461440727816897,-0.06461440727816897,0.29565697763773563,0.0,90.25,-0.06461440727816897,56.802591518400384,34.185,43.06,2.479,9.5,7.5367494000000015
2020-08-28,180.0,0.06291512241389041,0.06291512241389041,-0.06461440727816897,-0.06461440727816897,0.8641230464899805,0.0,84.63999999999999,-0.06461440727816897,57.6574788748274,33.096000000000004,45.258,1.898,9.2,7.593252193548388
2020-08-21,183.0,0.29565697763773563,0.06291512241389041,-0.06461440727816897,-0.06461440727816897,0.29565697763773563,0.0,108.16000000000001,-0.06461440727816897,57.50041839662856,26.398000000000003,44.792,2.553,10.4,7.5829030322580655
2020-08-14,172.0,0.29565697763773563,0.06291512241389041,-0.06461440727816897,-0.06461440727816897,0.06291512241389041,0.0,106.09000000000002,-0.06461440727816897,57.343572128708544,23.464000000000002,44.538,3.593,10.3,7.5725538709677425
2020-08-07,176.0,0.8641230464899805,0.06291512241389041,-0.06461440727816897,-0.06461440727816897,0.29565697763773563,0.0,106.09000000000002,-0.06461440727816897,57.18694007106732,15.712,44.356,2.478,10.3,7.562204709677418
2020-07-31,180.0,0.06291512241389041,0.06291512241389041,-0.06461440727816897,-0.06461440727816897,0.06291512241389041,0.0,112.36,-0.06461440727816897,57.508992778096186,3.3240000000000007,43.224,3.1910000000000003,10.6,7.583468387096777
2020-07-24,181.0,0.29565697763773563,0.06291512241389041,-0.06461440727816897,-0.06461440727816897,0.8641230464899805,0.0,114.48999999999998,-0.06461440727816897,60.752813167876276,20.12,43.56800000000001,1.935,10.7,7.794409096774192
