date,Total US RigCount,wti_spot_lag_15,wti_spot_lag_9,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import_smooth,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod_smooth,usa_l48_prod,opec_tot_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons_smooth,oecd_cons,non-oecd_cons_smooth,non-oecd_cons,world_cons_smooth,world_cons,rig_change_4bin_week+4,rig_change_4bin_week+8,rig_pct_change_week+4,rig_pct_change_week+8
2020-08-14,172.0,23.464000000000002,37.872,42.076,44.538,42.094,42.364,42.69200000000001,42.996,2.7992500000000144,3.593,1163.68,651.2280000000002,10.474999999999996,10.3,28.818900283387087,31.55674741935484,7.5852958064516125,62.737183821322574,37.872,42.782416856612905,37.872,51.70715601461289,37.872,94.48957287122582,++,++,0.04651162790697674,0.12209302325581395
2020-08-07,176.0,15.712,37.322,41.56800000000001,44.356,41.614,41.86800000000001,42.214,42.513999999999996,2.6380000000000146,2.478,1167.983,653.899,10.549999999999997,10.3,28.797268535870966,31.544140193548387,7.58962406451613,62.70297137822581,37.322,42.80751380712904,37.322,51.38207314212903,37.322,94.18958694925806,++,++,0.028409090909090905,0.07386363636363638
2020-07-31,180.0,3.3240000000000007,34.185,40.68599999999999,43.224,40.82,41.08600000000001,41.368,41.62,2.7745000000000144,3.1910000000000003,1174.737,656.1410000000002,10.599999999999996,10.6,28.745787130258066,31.53266193548388,7.623790967741934,62.66368882370968,34.185,42.80978071190323,34.185,51.10281440825807,34.185,93.9125951201613,-,+,0.0,0.016666666666666666
2020-07-24,181.0,20.12,33.096000000000004,41.338,43.56800000000001,41.40600000000001,41.508,41.666,41.803999999999995,3.2285000000000146,1.935,1182.116,656.1469999999998,10.599999999999996,10.7,28.515207776064514,31.527957483870967,7.836989741935482,62.59398560067742,33.096000000000004,42.675067342225816,33.096000000000004,51.09850050606452,33.096000000000004,93.77356784829031,+,-,0.011049723756906077,-0.011049723756906077
2020-07-17,180.0,24.405,26.398000000000003,40.57000000000001,43.404,40.586,40.790000000000006,40.966,41.112,3.464000000000014,2.948,1192.727,656.1469999999998,10.574999999999998,10.6,28.28462842187097,31.523253032258072,8.050188516129031,62.52428237764517,26.398000000000003,42.54035397254839,26.398000000000003,51.094186603870966,26.398000000000003,93.63454057641935,--,-,-0.04444444444444445,0.0
2020-07-10,181.0,21.686,23.464000000000002,40.44199999999999,43.06,40.464,40.612,40.77200000000001,40.904,3.5727500000000143,3.024,1187.837,656.1489999999999,10.574999999999998,10.5,28.054049067677425,31.51854858064516,8.26338729032258,62.454579154612894,23.464000000000002,42.40564060287097,23.464000000000002,51.089872701677415,23.464000000000002,93.49551330454838,--,-,-0.027624309392265192,0.0
2020-07-03,185.0,19.438,15.712,39.992,42.302,40.018,40.118,40.262,40.378,3.8617500000000136,5.007,1195.204,656.023,10.474999999999998,10.6,27.823469713483878,31.51384412903225,8.476586064516129,62.38487593158065,15.712,42.27092723319355,15.712,51.08555879948387,15.712,93.35648603267742,--,-,-0.027027027027027032,-0.027027027027027032
2020-06-26,188.0,24.19400000000001,3.3240000000000007,39.22,41.694,39.21,39.402,39.55,39.688,3.7162500000000143,2.877,1188.94,655.413,10.499999999999996,10.6,27.658520448,31.51402766666667,8.643194333333334,62.1964448025,3.3240000000000007,41.89485619566667,3.3240000000000007,50.9052164705,3.3240000000000007,92.80007266616668,--,-,-0.03723404255319149,-0.026595744680851064
2020-06-19,189.0,32.386,20.12,38.35,40.948,38.41,38.63399999999999,38.828,39.00600000000001,3.8432500000000154,3.383,1194.443,653.721,10.549999999999997,10.6,27.519823218000003,31.5161664,8.7911664,61.960522511,20.12,41.422242091,20.12,50.6544627708,20.12,92.0767048618,--,--,-0.047619047619047616,-0.08994708994708994
2020-06-12,199.0,45.574,24.405,37.872,39.518,37.866,38.09,38.31800000000001,38.484,4.003500000000015,4.18,1191.01,651.73,10.649999999999997,10.1,27.381125988,31.51830513333333,8.939138466666666,61.724600219500005,24.405,40.949627986333326,24.405,50.403709071099996,24.405,91.35333705743332,--,--,-0.09045226130653268,-0.11557788944723618
